composer,path,filename,file_kb,md5,parse_ok,error,duration_s,n_instruments,n_notes,has_drums,pitch_min,pitch_max,pitch_mean,pitch_std,velocity_mean,notes_per_sec,tempo_est,n_windows
Bach,data/Bach/AveMaria.mid,AveMaria.mid,6.4033203125,354992fb5ed1526f8886198538fd8225,True,,82.0,3.0,793.0,False,36.0,81.0,59.82093316519546,7.1769714138507235,33.85750315258512,9.670731707317072,240.0,4.0
Bach,data/Bach/Bwv ''Little Notebook for Anna Magdalena Bach''/01 Menuet.mid,01 Menuet.mid,3.7099609375,6307708f2520726c73d011c8364396a7,True,,110.47738037500004,4.0,524.0,False,40.0,84.0,65.11832061068702,11.966449928746988,100.0,4.743052362586397,196.98519114959996,6.0
Bach,data/Bach/Bwv ''Little Notebook for Anna Magdalena Bach''/02 Menuet.mid,02 Menuet.mid,3.0,e3cad3bc8574d51423640d2cbceedafb,True,,89.345972,4.0,428.0,False,43.0,83.0,66.1822429906542,8.40335172432035,100.0,4.790367046429356,193.48856558158906,4.0
Bach,data/Bach/Bwv ''Little Notebook for Anna Magdalena Bach''/03 Menuet.mid,03 Menuet.mid,3.0595703125,2568140d8d6d5210a2b5ac635a56d47a,True,,99.64416787500001,2.0,418.0,False,43.0,82.0,66.03349282296651,10.035526737102384,100.0,4.194926897521648,178.82352941176472,5.0
Bach,data/Bach/Bwv ''Little Notebook for Anna Magdalena Bach''/04 Menuet.mid,04 Menuet.mid,4.2509765625,851c387e85ec5b71e28d76045e3c4ee5,True,,120.69123932500003,2.0,622.0,False,38.0,81.0,62.02572347266881,11.736358190523402,100.0,5.153646639795161,206.15384615384608,7.0
Bach,data/Bach/Bwv ''Little Notebook for Anna Magdalena Bach''/05 Polonaise.mid,05 Polonaise.mid,7.3857421875,8ee027986fba0cc257ca219130e2099e,True,,164.56431314166667,2.0,1034.0,False,36.0,82.0,64.03868471953578,12.091785205250764,100.0,6.283257774787853,230.29468403016455,9.0
Bach,data/Bach/Bwv ''Little Notebook for Anna Magdalena Bach''/06 Menuet.mid,06 Menuet.mid,3.0029296875,02afc56398db0b843e9e019277f442c8,True,,84.84698541666671,2.0,440.0,False,39.0,79.0,58.51590909090909,11.501569916197965,92.1590909090909,5.185805928628428,200.86463722823828,4.0
Bach,data/Bach/Bwv ''Little Notebook for Anna Magdalena Bach''/07 Rondo.mid,07 Rondo.mid,12.3818359375,336701dcd6370b734282c270afa2e953,True,,209.51994694999996,2.0,1631.0,False,43.0,82.0,64.63090128755364,8.968703763367268,100.0,7.78446168845787,271.1832603404251,12.0
Bach,data/Bach/Bwv ''Little Notebook for Anna Magdalena Bach''/08 Polonaise.mid,08 Polonaise.mid,2.0205078125,4a8b4b48aefd32c8e8bc94bb08b34e84,True,,59.395,2.0,296.0,False,43.0,79.0,63.479729729729726,10.664078117170567,100.0,4.9835844768078115,179.66101694915258,2.0
Bach,data/Bach/Bwv ''Little Notebook for Anna Magdalena Bach''/09 Menuet.mid,09 Menuet.mid,2.75390625,7c3a3020e2f8c09643af013411d3c77a,True,,87.92234931666667,2.0,392.0,False,36.0,81.0,65.29591836734694,11.585713566737224,100.0,4.458479590759661,152.90920304250662,4.0
Bach,data/Bach/Bwv ''Little Notebook for Anna Magdalena Bach''/10 Menuet.mid,10 Menuet.mid,3.2568359375,72aabc7e2fb03f357fc6f3b3ab56170d,True,,74.21223184166668,3.0,458.0,False,41.0,80.0,62.0,10.30410949520059,100.0,6.171489370878272,162.3529411764706,3.0
Bach,data/Bach/Bwv ''Little Notebook for Anna Magdalena Bach''/11 Marche.mid,11 Marche.mid,5.5810546875,60b62bfce86e1d941d0eae69020881ba,True,,56.52359942499999,4.0,876.0,False,37.0,86.0,64.31050228310502,13.26320929308883,91.59817351598174,15.49795145587546,190.0002850004276,2.0
Bach,data/Bach/Bwv ''Little Notebook for Anna Magdalena Bach''/12 Polonaise.mid,12 Polonaise.mid,3.642578125,b402aa344781e8127c22cafa9313cb3e,True,,62.995000000000005,2.0,531.0,False,38.0,84.0,66.15065913370998,12.711631998991466,100.0,8.429240415906024,189.61937716262975,3.0
